REF_ID,Authority,Category,Citation_As_Per_CSV,Document_Date,Resolved_Source_URL,Local_File_Path,File_Size_Bytes,Download_Status,Associated_CTH_Count
ACT-0001,Parliament of India,01_Parent_Acts,"A of the Livestock Importation Act, 1898",,https://www.indiacode.nic.in/simple-search?query=A%20of%20the%20Livestock%20Importation%20Act%2C%201898,,0,MANUAL_ACCESS_REQUIRED,19
ACT-0002,Parliament of India,01_Parent_Acts,"Aircraft Act, 1934",,https://www.indiacode.nic.in/simple-search?query=Aircraft%20Act%2C%201934,,0,MANUAL_ACCESS_REQUIRED,8
ACT-0003,Parliament of India,01_Parent_Acts,Arms Act 1959,,https://bombayhighcourt.gov.in/bhc/libweb/legislation/actc/1959.54.pdf,/Users/kanchigupta/Desktop/kanchi AI projects/CCR codification/Statutory_Repository/01_Parent_Acts/Parliament_of_India_Act_Arms_Act_1959_1959.pdf,3070314,SUCCESS,4
ACT-0004,Parliament of India,01_Parent_Acts,As Defined Under The Msmed Act 2006,,https://www.indiacode.nic.in/simple-search?query=As%20Defined%20Under%20The%20Msmed%20Act%202006,,0,MANUAL_ACCESS_REQUIRED,5
ACT-0005,Parliament of India,01_Parent_Acts,Atomic Energy Act 1962,,https://bombayhighcourt.gov.in/bhc/libweb/legislation/actc/1962.33.pdf,/Users/kanchigupta/Desktop/kanchi AI projects/CCR codification/Statutory_Repository/01_Parent_Acts/Parliament_of_India_Act_Atomic_Energy_Act_1962_1962.pdf,138671,SUCCESS,3
ACT-0006,Parliament of India,01_Parent_Acts,"Atomic Energy Act, 1962",,https://bombayhighcourt.gov.in/bhc/libweb/legislation/actc/1962.33.pdf,"/Users/kanchigupta/Desktop/kanchi AI projects/CCR codification/Statutory_Repository/01_Parent_Acts/Parliament_of_India_Act_Atomic_Energy_Act,_1962_1962.pdf",138671,SUCCESS,94
ACT-0007,Parliament of India,01_Parent_Acts,"Bureau of Energy Efficiency (Appliance Labeling and Compliance) Regulations & Legal Metrology Act, 2009",,https://www.indiacode.nic.in/simple-search?query=Bureau%20of%20Energy%20Efficiency%20%28Appliance%20Labeling%20and%20Compliance%29%20Regulations%20%26%20Legal%20Metrology%20Act%2C%202009,,0,MANUAL_ACCESS_REQUIRED,1
ACT-0008,Parliament of India,01_Parent_Acts,"Bureau of Indian Standards Act, 2016",,https://www.indiacode.nic.in/simple-search?query=Bureau%20of%20Indian%20Standards%20Act%2C%202016,,0,MANUAL_ACCESS_REQUIRED,2458
ACT-0009,Parliament of India,01_Parent_Acts,"CHIMS) & Bureau of Indian Standards Act, 2016",,https://www.indiacode.nic.in/simple-search?query=CHIMS%29%20%26%20Bureau%20of%20Indian%20Standards%20Act%2C%202016,,0,MANUAL_ACCESS_REQUIRED,6
ACT-0010,Parliament of India,01_Parent_Acts,"Cable Television Networks (Regulation) Act, 1995",,https://bombayhighcourt.gov.in/bhc/libweb/legislation/actc/1995.07.pdf,"/Users/kanchigupta/Desktop/kanchi AI projects/CCR codification/Statutory_Repository/01_Parent_Acts/Parliament_of_India_Act_Cable_Television_Networks_(Regulation)_Act,_1995_1995.pdf",292777,SUCCESS,36
